Liquid Oxygen,,,,
,,,,
Density,[kg/m^3],1303.9,,
Temperature,[C],-218,,
Dynamic Viscosity,[Pa s],0.0007793,,
,,,,
 Z [ m ], Pressure [ MPa ], Velocity [ m s^-1 ],,
0.073417068,0.004791814,0.50740993,,
0.071246214,0.00480716,0.527737558,,
0.069075361,0.004818109,0.545310736,,
0.066904508,0.004829746,0.569887161,,
0.064733654,0.004839967,0.599191904,,
0.062562801,0.004844275,0.621326149,,
0.060391948,0.004847342,0.65094775,,
0.058221094,0.004847749,0.675490856,,
0.056050241,0.004844838,0.715300381,,
0.053879388,0.004835984,0.757426381,,
0.051708534,0.004821432,0.795754254,,
0.049537681,0.004790112,0.853535712,,
0.047366828,0.004739443,0.928601801,,
0.045195974,0.004691232,0.986690044,,
0.043025121,0.004604447,1.08182406,,
0.040854268,0.004523391,1.165411,,
0.038683415,0.004302619,1.3300333,,
0.036512561,0.004048042,1.53053427,,
0.034341708,0.003663347,1.87245739,,
0.032170855,0.002626419,2.00750041,,
0.029999999,0.001396335,2.16573143,,
0.029999979,0.001396335,2.16573167,,
0.029387735,0.001433881,2.16494632,,
0.028775491,0.001486871,2.17277098,,
0.028163247,0.001551409,2.18890548,,
0.027551003,0.001624851,2.2130096,,
0.026938759,0.001704522,2.24463534,,
0.026326515,0.001820083,2.24600172,,
0.025714271,0.001947726,2.24166465,,
0.025102027,0.002076864,2.243294,,
0.024489783,0.002207283,2.25066519,,
0.023877539,0.002338467,2.263731,,
0.023265295,0.002426571,2.24509764,,
0.022653051,0.002498645,2.22523522,,
0.022040807,0.002562117,2.20643997,,
0.021428563,0.002625589,2.18936419,,
0.020816319,0.002698423,2.16956663,,
0.020204075,0.002778586,2.15069199,,
0.019591831,0.002826467,2.13387585,,
0.018979587,0.002865483,2.12059569,,
0.018367343,0.002914116,2.09986329,,
0.017755099,0.002963851,2.078269,,
0.017142855,0.003013728,2.05710649,,
0.016530611,0.003060652,2.03718853,,
0.015918367,0.003085289,2.02277136,,
0.015306123,0.003108942,2.00954676,,
0.014693878,0.003131642,1.9973532,,
0.014081633,0.003153439,1.98606515,,
0.013469388,0.00317447,1.97555757,,
0.012857143,0.003202305,1.96625865,,
0.012244898,0.003234961,1.95813096,,
0.011632653,0.003269185,1.95067501,,
0.011020408,0.003297674,1.94584203,,
0.010408163,0.003326545,1.94092882,,
0.009795918,0.003352442,1.93605304,,
0.009183673,0.003369788,1.93104362,,
0.008571428,0.003386988,1.92643654,,
0.007959183,0.003404045,1.92223263,,
0.007346939,0.003420963,1.91843152,,
0.006734694,0.003437315,1.91502893,,
0.006122449,0.003450146,1.91210544,,
0.005510204,0.003462948,1.90957129,,
0.004897959,0.003475721,1.90742838,,
0.004285714,0.003488465,1.9056778,,
0.003673469,0.003501179,1.90432036,,
0.003061224,0.003513227,1.89973545,,
0.00244898,0.003524865,1.89315474,,
0.001836735,0.003536501,1.88683522,,
0.00122449,0.003548133,1.88077855,,
0.000612245,0.003559763,1.87498724,,
0,0.003571389,1.86946404,,
