Soybean Oil,,
,,
Density,[kg/m^3],918.5
Temperature,[C],20
Dynamic Viscosity,[Pa s],0.06164972
,,
 Z [ m ], Pressure [ MPa ],Velocity [ m s^-1 ]
0.090783894,0.003264392,0.243820608
0.088613041,0.003279802,0.254132479
0.086442187,0.003292032,0.262972981
0.084271334,0.00330818,0.276244938
0.082100481,0.003323617,0.290341049
0.079929628,0.003334707,0.301969767
0.077758774,0.003347629,0.317165405
0.075587921,0.003356905,0.32909894
0.073417068,0.003370239,0.35000062
0.071246214,0.00338076,0.369699001
0.069075361,0.00338818,0.386810035
0.066904508,0.003395919,0.410564333
0.064733654,0.00340256,0.43881312
0.062562801,0.003405201,0.460172951
0.060391948,0.003407048,0.488870233
0.058221094,0.003407242,0.512753606
0.056050241,0.00340392,0.552743435
0.053879388,0.003396308,0.595715582
0.051708534,0.00338525,0.635130703
0.049537681,0.003362685,0.694447935
0.047366828,0.003326749,0.771859527
0.045195974,0.003292632,0.832409501
0.043025121,0.003230803,0.931023419
0.040854268,0.00317289,1.01719379
0.038683415,0.003015983,1.18827164
0.036512561,0.002833663,1.3922956
0.034341708,0.00255567,1.73002744
0.032170855,0.001808621,1.90931261
0.029999999,0.000927906,2.12329507
0.029999979,0.000927906,2.12329507
0.029387735,0.000943902,2.13177991
0.028775491,0.000974078,2.1486752
0.028163247,0.001014883,2.17352676
0.027551003,0.00106381,2.20589924
0.026938759,0.00111832,2.24527502
0.026326515,0.001202923,2.25257397
0.025714271,0.001297465,2.25327063
0.025102027,0.001393102,2.25942326
0.024489783,0.001489703,2.27077889
0.023877539,0.001587002,2.28725243
0.023265295,0.001651391,2.27197123
0.022653051,0.001705327,2.25440264
0.022040807,0.001754658,2.2361238
0.021428563,0.001803989,2.21939707
0.020816319,0.001858554,2.19944024
0.020204075,0.001918187,2.18077159
0.019591831,0.001953245,2.16051292
0.018979587,0.00198195,2.14310908
0.018367343,0.002017549,2.12023687
0.017755099,0.002054034,2.09707618
0.017142855,0.002090727,2.07461405
0.016530611,0.002125324,2.05371189
0.015918367,0.002143518,2.03907681
0.015306123,0.002160936,2.02558541
0.014693878,0.002177611,2.0130806
0.014081633,0.002193586,2.00144053
0.013469388,0.00220897,1.99054432
0.012857143,0.002229211,1.98074663
0.012244898,0.002252905,1.97205174
